# CCD Quadrant DX DY scale
1 1 3.208180716328899 -2.415120030914516 1.0124153613885616
1 2 2.340845887839834 -2.4105638845226647 1.0124757880458577
1 3 2.3364185120253387 -3.279673187610868 1.0123775791766592
1 4 3.2043924724264894 -3.2846998068441042 1.0123049013120382
2 1 1.3479705904867023 -2.4125836946929153 1.0125555288270607
2 2 0.4823231301301856 -2.4098866495653786 1.012599491997813
2 3 0.4791106606173501 -3.278427401553364 1.0124918715117581
2 4 1.3453299105182408 -3.281354961341396 1.012466940825577
3 1 -0.505766679305468 -2.4057717220415658 1.012575771690447
3 2 -1.371509550799293 -2.4036872195862724 1.0125805466844695
3 3 -1.3770163406775922 -3.272406288420564 1.012445137898495
3 4 -0.5107789235727914 -3.2742914970081802 1.0124670369297721
4 1 -2.367452183158627 -2.4034906596463617 1.0124481916310732
4 2 -3.234830929521385 -2.4018841317388713 1.0123728677208383
4 3 -3.239461337726512 -3.2715582004908366 1.0123647191568772
4 4 -2.371507496940369 -3.272558005349449 1.0123534401581842
5 1 3.212787528690615 -0.4975510037612036 1.0126851073976253
5 2 2.345960650370125 -0.49596278000363875 1.012715208807573
5 3 2.3451364802018784 -1.3632344493169344 1.0126879896551624
5 4 3.2121583675963006 -1.3657403659207925 1.0126115264486657
6 1 1.3500065927564564 -0.49721195854853145 1.0126920802305222
6 2 0.48502232373018606 -0.4947213151558656 1.0126447027253573
6 3 0.4841862430901211 -1.3613759579914102 1.0126319044829826
6 4 1.3493759494416335 -1.3640712312287542 1.0126443485388466
7 1 -0.5018800907379681 -0.4878198668422036 1.0126766958589832
7 2 -1.3668955857582383 -0.4877055718028438 1.012703851134652
7 3 -1.367494672363564 -1.3545553724825414 1.0126396506943727
7 4 -0.5023434522651327 -1.354462911109707 1.0126162935106324
8 1 -2.3638951910212564 -0.48629244579127395 1.0125763338608826
8 2 -3.230610892883604 -0.4852820054750987 1.0124511481338374
8 3 -3.230789283617719 -1.353045512985735 1.0124388953861727
8 4 -2.363942436769131 -1.3534760321573827 1.0126039880990125
9 1 3.2141465857196154 1.4170850994087734 1.0125847403286379
9 2 2.347033654703342 1.4176691631142928 1.012575150723505
9 3 2.3463397719370196 0.5504156510632283 1.012617164443846
9 4 3.213098189575468 0.5492336433205678 1.0126697262174895
10 1 1.3512403601561245 1.421610889452443 1.0126679343641447
10 2 0.48600592803552023 1.4237368169905755 1.0126763992589343
10 3 0.48561720263265606 0.5570447890663605 1.012705109024567
10 4 1.350614875606607 0.5547022063844297 1.0127039837434775
11 1 -0.49892094946804355 1.4278033537935042 1.0126401144923027
11 2 -1.3641346568081534 1.4284750978101832 1.0126568349806637
11 3 -1.3641301157234587 0.5616198601680031 1.0127160356098985
11 4 -0.4991261838344649 0.5611190195214764 1.012679502312733
12 1 -2.358724283399365 1.430218822517246 1.0126492772478506
12 2 -3.2257337854594326 1.432124511272436 1.0126164188576348
12 3 -3.224293971496408 0.5642402573245286 1.0126547092968707
12 4 -2.357534643212354 0.562927920841542 1.012633158719963
13 1 3.219884193865358 3.3373545644202514 1.0123801077968495
13 2 2.3518925606798797 3.3376942225031647 1.012423821369102
13 3 2.349801066746971 2.468692674975747 1.0125314226009265
13 4 3.2172546520218477 2.4676378663418808 1.0124760697763722
14 1 1.3580615743928397 3.336036659775436 1.0125237509249136
14 2 0.49173381196597643 3.3404015481004308 1.0124619775651276
14 3 0.48840812309036463 2.4717328199661446 1.0124740427606036
14 4 1.3543538106915312 2.467243529836294 1.0125341191401667
15 1 -0.4983105212475304 3.3437033789698867 1.0124893588674864
15 2 -1.3647795708114987 3.3428075298536117 1.0124886152587291
15 3 -1.3628032547783249 2.474028966939751 1.0126062424619715
15 4 -0.4970666230774299 2.475046317857246 1.0125862865269255
16 1 -2.3591571250063326 3.345365584533154 1.0123971159217802
16 2 -3.2274370332950344 3.3500102082757452 1.012404450503337
16 3 -3.2262930672559786 2.4802303862375212 1.0125162543931192
16 4 -2.3588045910921647 2.4768923347119793 1.0125244837849747
